Subgroup	Sample	Type	Normalized_depth
b1/b2	C003-CHA-E03	Control	0.701034860985264
b1/b2	C004-CHA-E04	Control	0.638785660140145
b1/b2	C005-CHA-E05	CON	0.663161778269693
b1/b2	C006-CHA-E06	Control	0.684786119699138
b1/b2	C007-CHA-E07	r3-r4-g1-g2-b4	0.607043558850787
b1/b2	C008-CHA-E08	Control	0.662650602409638
b1/b2	C010-CHA-E10	r1-r2-gy1	0.707070707070707
b1/b2	C011-CHA-E11	r3-r4-g2-b3-gy1	0.724091395597749
b1/b2	C012-CHA-E12	Control	0.670075984259108
b1/b2	C013-CHA-E13	Control	0.647768796368066
b1/b2	C014-CHA-E14	Control	0.675527841592824
b1/b2	C015-CHA-E15	Control	0.686683347233806
b1/b2	C016-CHA-E16	r3-r4-g1-g2-b4	0.709916589434661
b1/b2	C017-CHA-E17	Control	0.663938571888362
b1/b2	C018-CHA-E18	Control	0.691879375930316
b1/b2	C019-CHA-E19	Control	0.733460733460734
b1/b2	C020-CHA-E20	Control	0.654427143853127
b1/b2	C021-CHA-S01	Control	0.666152121579653
b1/b2	C021-CHA-S01_2	Control	0.642434488588335
b1/b2	C022-CHA-S02	Control	0.719397987157549
b1/b2	C023-CHA-S03	Control	0.659874754649967
b1/b2	C023-CHA-S03_2	Control	0.614829881656805
b1/b2	C024-CHA-S04	r1-r2-gy1	0.677666744132002
b1/b2	C024-CHA-S04_2	Control	0.681048379793149
b1/b2	C025-CHA-S05	CON	0.613858513319913
b1/b2	C026-CHA-S06	Control	0.664016834229599
b1/b2	C027-CHA-S07	Control	0.695252340590549
b1/b2	C028-CHA-S08	Control	0.632769417702588
b1/b2	C029-CHA-S09	Control	0.697858842188739
b1/b2	C030-CHA-S10	Control	0.675218820914185
b1/b2	C035-CHA-S15	Control	0.725920346483382
b1/b2	C036-CHA-S16	r1-r2-gy1	0.663161778269693
b1/b2	C037-CHA-S17	Control	0.618548876745597
b1/b2	C038-CHA-S18	Control	0.597213005972129
b1/b2	C039-CHA-S19	Control	0.709395591285355
b1/b2	C040-CHA-S20	Control	0.687379207234803
b1/b2	C041-CHA-N01	Control	0.671683389074694
b1/b2	C042-CHA-N02	Control	0.689872933251684
b1/b2	C044-CHA-N04	Control	0.664783114508892
b1/b2	C045-CHA-N05	Control	0.682091018225472
b1/b2	C046-CHA-N06	r3-r4-g1-g2-b4	0.698113550120739
b1/b2	C047-CHA-N07	r3-r4-g1-g2-b4	0.649609871166757
b1/b2	C048-CHA-N08	Control	0.670230072042762
b1/b2	C049-CHA-N09	Control	0.680438524961493
b1/b2	C050-CHA-N10	CON	0.660708411009979
b1/b2	C051-CHA-N11	CON	0.712786304053739
b1/b2	C052-CHA-N12	r3-r4-g2-b3-gy1	0.634914582062234
b1/b2	C054-CHA-N14	Control	0.729893330380541
b1/b2	C055-CHA-N15	CON	0.736636245110822
b1/b2	C056-CHA-N16	Control	0.650960355757404
b1/b2	C057-CHA-N17	Control	0.684596577017115
b1/b2	C058-CHA-N18	Control	0.633024410278387
b1/b2	C059-CHA-N19	r3-r4-g2-b3-gy1	0.656397771431248
b1/b2	C061-CHA-NE01	CON	0.687098136762567
b1/b2	C062-CHA-NE02	Control	0.738835632452653
b1/b2	C063-CHA-NE03	Control	0.642270351008215
b1/b2	C064-CHA-NE04	r3-r4-g1-g2-b4	0.66530100025837
b1/b2	C066-CHA-NE06	Control	0.728495642288746
b1/b2	C067-CHA-NE07	Control	0.671328671328671
b1/b2	C069-CHA-NE09	Control	0.642897248736664
b1/b2	C070-CHA-NE10	Control	0.677782669308093
b1/b2	C071-CHA-NE11	Control	0.689192813086618
b1/b2	C072-CHA-NE12	Control	0.604594921402661
b1/b2	C073-CHA-NE13	r3-r4-g1-g2-b4	0.685608685608686
b1/b2	C074-CHA-NE14	Control	0.656434911242604
b1/b2	C075-CHA-NE15	CON	0.676963101388737
b1/b2	C076-CHA-NE16	Control	0.655487804878049
b1/b2	C077-CHA-NE17	r3-r4-g2-b3-gy1	0.68555592021296
b1/b2	C078-CHA-NE18	r3-r4-g1-g2-b4	0.634140767824498
b1/b2	C079-CHA-NE19	Control	0.729620932572962
b1/b2	C081-CHA-C01	r1-r2-gy1	0.664526036576854
b1/b2	C082-CHA-C02	Control	0.671722643553629
b1/b2	C083-CHA-C03	r3-r4-g1-g2-b4	0.677966101694916
b1/b2	C084-CHA-C04	Control	0.727713765918738
b1/b2	C086-CHA-C06	Control	0.601267168431348
b1/b2	C087-CHA-C07	Control	0.689726168416717
b1/b2	C088-CHA-C08	Control	0.667488190593551
b1/b2	C089-CHA-C09	Control	0.66783286867472
b1/b2	C090-CHA-C10	Control	0.635006157635468
b1/b2	C091-CHA-C11	r3-r4-g1-g2-b4	0.636643629807693
b1/b2	C094-CHA-C14	r3-r4-g1-g2-b4	0.758014767735302
b1/b2	C095-CHA-C15	CON	0.684496250703559
b1/b2	C096-CHA-C16	r3-r4-g2-b3-gy1	0.739913444087674
b1/b2	C097-CHA-C17	Control	0.698031551026107
b1/b2	C099-CHA-C19	Control	0.686260722823794
b1/b2	C100-CHA-C20	Control	0.66412426751
b1/b2	C102-CZA02	Control	0.71117298147924
b1/b2	C107-CZA07	r3-r4-g1-g2-b4	0.715020095336012
b1/b2	C111-CUG03	Control	0.654385224769137
b1/b2	C112-CUG04	r1-r2-gy1	0.699215262440675
b1/b2	C114-CMG01	Control	0.7262183926851
b1/b2	C116-CMG03	CON	0.698042209739871
b1/b2	C117-CMG04	Control	0.692173533900153
b1/b2	C118-CMG05	Control	0.688185986199231
b1/b2	C120-CKZ02	CON	0.661843219558893
b1/b2	C121-CKZ03	CON	0.637755102040817
b1/b2	C122-CKZ04	CON	0.643776824034336
b1/b2	C127-CZH04	Control	0.659576067348166
b1/b2	C134-CMH01	Control	0.704895104895105
b1/b2	C137-CMH04	Control	0.667457160342717
b1/b2	C138-CMH05	Control	0.679957150897833
b1/b2	C139-CBY01	Control	0.604318457802064
b1/b2	C142-CHU01	Control	0.560620813785371
b1/b2	C144-CHU03	Control	0.68337547176725
b1/b2	C145-CMA01	Control	0.672230994811641
b1/b2	C148-CTJ01	Control	0.637243551150836
b1/b2	C149-CTJ02	Control	0.618022516369117
b1/b2	C150-CTJ03	r1-r2-gy1	0.696783720179042
b1/b2	C151-CHA-E21	Control	0.741825741825743
b1/b2	C152-CKZ06	Control	0.641601197156752
b1/b2	C153-CHA-S21	Control	0.6171875
b1/b2	C154-CBA01	r3-r4-g1-g2-b4	0.689199395770394
